
Spine Attachment Pt Position Y
 ==================== 
Spine Attachment Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
24170.2,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000003059,
24164.7,µm,Spine,Spine Attachment Pt Position,2,2,1,100000000,610000003065,
24187.5,µm,Spine,Spine Attachment Pt Position,2,2,1,100000000,610000003096,
24186.6,µm,Spine,Spine Attachment Pt Position,4,3,1,100000000,610000003106,
24172.4,µm,Spine,Spine Attachment Pt Position,2,3,1,100000000,610000003108,
24166.3,µm,Spine,Spine Attachment Pt Position,3,3,1,100000000,610000003112,
24173.5,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000003121,
24156.4,µm,Spine,Spine Attachment Pt Position,7,4,1,100000000,610000003127,
24145.2,µm,Spine,Spine Attachment Pt Position,6,3,1,100000001,610000003140,
24157.1,µm,Spine,Spine Attachment Pt Position,2,2,1,100000000,610000003217,
24138.5,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000003258,
24204.1,µm,Spine,Spine Attachment Pt Position,3,2,1,100000000,610000003268,
24169.6,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000003271,
24170.8,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000003280,
24174.2,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000003298,
24184.6,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000003314,
24180.3,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000003346,
24143.7,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000003355,
24147.4,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000003384,
24137.3,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000003393,
24212.4,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000003443,
24195.9,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000003444,
24149.2,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000003444,
24172.2,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000003445,
24149,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000003445,
24160.7,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000003446,
24146,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000003446,
24146.6,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000003447,
24190.9,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000003448,
24146.9,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000003448,
24149.8,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000003449,
24161.5,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000003450,
24163.9,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000003451,
24179.2,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000003451,
24163.8,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000003452,
24179.2,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000003452,
24174.1,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000003453,
24177.6,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000003453,
24168,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000003454,
24173.8,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000003455,
