
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
0,,Filament,0.000,1,100000000,
6,,Filament,1.000,1,100000000,
5,,Filament,2.000,1,100000000,
5,,Filament,3.000,1,100000000,
3,,Filament,4.000,1,100000000,
2,,Filament,5.000,1,100000000,
2,,Filament,6.000,1,100000000,
1,,Filament,7.000,1,100000000,
2,,Filament,8.000,1,100000000,
0,,Filament,9.000,1,100000000,
0,,Filament,0.000,1,100000001,
4,,Filament,1.000,1,100000001,
3,,Filament,2.000,1,100000001,
3,,Filament,3.000,1,100000001,
2,,Filament,4.000,1,100000001,
2,,Filament,5.000,1,100000001,
3,,Filament,6.000,1,100000001,
3,,Filament,7.000,1,100000001,
1,,Filament,8.000,1,100000001,
1,,Filament,9.000,1,100000001,
1,,Filament,10.000,1,100000001,
1,,Filament,11.000,1,100000001,
1,,Filament,12.000,1,100000001,
1,,Filament,13.000,1,100000001,
0,,Filament,14.000,1,100000001,
0,,Filament,0.000,1,100000002,
4,,Filament,1.000,1,100000002,
5,,Filament,2.000,1,100000002,
6,,Filament,3.000,1,100000002,
4,,Filament,4.000,1,100000002,
5,,Filament,5.000,1,100000002,
4,,Filament,6.000,1,100000002,
3,,Filament,7.000,1,100000002,
2,,Filament,8.000,1,100000002,
2,,Filament,9.000,1,100000002,
2,,Filament,10.000,1,100000002,
1,,Filament,11.000,1,100000002,
1,,Filament,12.000,1,100000002,
1,,Filament,13.000,1,100000002,
1,,Filament,14.000,1,100000002,
1,,Filament,15.000,1,100000002,
1,,Filament,16.000,1,100000002,
0,,Filament,17.000,1,100000002,
