
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1416.43,µm,Spine,Spine Attachment Pt Position,1,2,1,100000002,610000000778,
1418.81,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000000785,
1418.79,µm,Spine,Spine Attachment Pt Position,,,1,100000006,610000000794,
1418.7,µm,Spine,Spine Attachment Pt Position,3,1,1,100000000,610000000797,
1417.28,µm,Spine,Spine Attachment Pt Position,5,1,1,100000000,610000000800,
1419.07,µm,Spine,Spine Attachment Pt Position,,,1,100000006,610000000806,
1417.42,µm,Spine,Spine Attachment Pt Position,5,1,1,100000000,610000000808,
1417.25,µm,Spine,Spine Attachment Pt Position,5,1,1,100000000,610000000813,
1417.55,µm,Spine,Spine Attachment Pt Position,5,1,1,100000000,610000000815,
1418.69,µm,Spine,Spine Attachment Pt Position,,,1,100000006,610000000911,
1418.88,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000000915,
1419.03,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000000916,
1416.94,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000000916,
1419.02,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000000917,
1418.43,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000000918,
1416.5,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000000918,
1416.72,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000000919,
1417.61,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000000919,
1417.56,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000000920,
1417.27,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000000920,
1416.04,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000000921,
1416.54,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000000921,
