
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
0,,Filament,0.000,1,100000000,
2,,Filament,1.000,1,100000000,
3,,Filament,2.000,1,100000000,
1,,Filament,3.000,1,100000000,
2,,Filament,4.000,1,100000000,
1,,Filament,5.000,1,100000000,
2,,Filament,6.000,1,100000000,
1,,Filament,7.000,1,100000000,
2,,Filament,8.000,1,100000000,
1,,Filament,9.000,1,100000000,
1,,Filament,10.000,1,100000000,
1,,Filament,11.000,1,100000000,
0,,Filament,12.000,1,100000000,
0,,Filament,0.000,1,100000002,
2,,Filament,1.000,1,100000002,
3,,Filament,2.000,1,100000002,
4,,Filament,3.000,1,100000002,
2,,Filament,4.000,1,100000002,
0,,Filament,5.000,1,100000002,
