
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
0,,Filament,0.000,1,100000000,
11,,Filament,1.000,1,100000000,
8,,Filament,2.000,1,100000000,
6,,Filament,3.000,1,100000000,
8,,Filament,4.000,1,100000000,
6,,Filament,5.000,1,100000000,
5,,Filament,6.000,1,100000000,
5,,Filament,7.000,1,100000000,
5,,Filament,8.000,1,100000000,
6,,Filament,9.000,1,100000000,
8,,Filament,10.000,1,100000000,
6,,Filament,11.000,1,100000000,
7,,Filament,12.000,1,100000000,
9,,Filament,13.000,1,100000000,
13,,Filament,14.000,1,100000000,
10,,Filament,15.000,1,100000000,
7,,Filament,16.000,1,100000000,
7,,Filament,17.000,1,100000000,
5,,Filament,18.000,1,100000000,
6,,Filament,19.000,1,100000000,
5,,Filament,20.000,1,100000000,
2,,Filament,21.000,1,100000000,
3,,Filament,22.000,1,100000000,
1,,Filament,23.000,1,100000000,
3,,Filament,24.000,1,100000000,
2,,Filament,25.000,1,100000000,
1,,Filament,26.000,1,100000000,
1,,Filament,27.000,1,100000000,
2,,Filament,28.000,1,100000000,
3,,Filament,29.000,1,100000000,
1,,Filament,30.000,1,100000000,
1,,Filament,31.000,1,100000000,
0,,Filament,32.000,1,100000000,
0,,Filament,33.000,1,100000000,
0,,Filament,0.000,1,100000001,
6,,Filament,1.000,1,100000001,
7,,Filament,2.000,1,100000001,
10,,Filament,3.000,1,100000001,
13,,Filament,4.000,1,100000001,
7,,Filament,5.000,1,100000001,
8,,Filament,6.000,1,100000001,
9,,Filament,7.000,1,100000001,
11,,Filament,8.000,1,100000001,
8,,Filament,9.000,1,100000001,
11,,Filament,10.000,1,100000001,
4,,Filament,11.000,1,100000001,
4,,Filament,12.000,1,100000001,
6,,Filament,13.000,1,100000001,
6,,Filament,14.000,1,100000001,
5,,Filament,15.000,1,100000001,
4,,Filament,16.000,1,100000001,
2,,Filament,17.000,1,100000001,
2,,Filament,18.000,1,100000001,
0,,Filament,19.000,1,100000001,
0,,Filament,0.000,1,100000002,
10,,Filament,1.000,1,100000002,
11,,Filament,2.000,1,100000002,
10,,Filament,3.000,1,100000002,
11,,Filament,4.000,1,100000002,
9,,Filament,5.000,1,100000002,
12,,Filament,6.000,1,100000002,
14,,Filament,7.000,1,100000002,
16,,Filament,8.000,1,100000002,
20,,Filament,9.000,1,100000002,
21,,Filament,10.000,1,100000002,
18,,Filament,11.000,1,100000002,
12,,Filament,12.000,1,100000002,
9,,Filament,13.000,1,100000002,
10,,Filament,14.000,1,100000002,
7,,Filament,15.000,1,100000002,
4,,Filament,16.000,1,100000002,
5,,Filament,17.000,1,100000002,
6,,Filament,18.000,1,100000002,
2,,Filament,19.000,1,100000002,
0,,Filament,20.000,1,100000002,
0,,Filament,0.000,1,100000003,
4,,Filament,1.000,1,100000003,
3,,Filament,2.000,1,100000003,
3,,Filament,3.000,1,100000003,
4,,Filament,4.000,1,100000003,
4,,Filament,5.000,1,100000003,
4,,Filament,6.000,1,100000003,
11,,Filament,7.000,1,100000003,
10,,Filament,8.000,1,100000003,
8,,Filament,9.000,1,100000003,
7,,Filament,10.000,1,100000003,
5,,Filament,11.000,1,100000003,
3,,Filament,12.000,1,100000003,
2,,Filament,13.000,1,100000003,
3,,Filament,14.000,1,100000003,
2,,Filament,15.000,1,100000003,
0,,Filament,16.000,1,100000003,
