
Filament No. Sholl Intersections
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000000,
0,,Filament,1.000,1,100000000,
11,,Filament,2.000,1,100000000,
9,,Filament,3.000,1,100000000,
9,,Filament,4.000,1,100000000,
5,,Filament,5.000,1,100000000,
7,,Filament,6.000,1,100000000,
3,,Filament,7.000,1,100000000,
4,,Filament,8.000,1,100000000,
3,,Filament,9.000,1,100000000,
9,,Filament,10.000,1,100000000,
6,,Filament,11.000,1,100000000,
5,,Filament,12.000,1,100000000,
5,,Filament,13.000,1,100000000,
3,,Filament,14.000,1,100000000,
5,,Filament,15.000,1,100000000,
4,,Filament,16.000,1,100000000,
5,,Filament,17.000,1,100000000,
2,,Filament,18.000,1,100000000,
2,,Filament,19.000,1,100000000,
1,,Filament,20.000,1,100000000,
1,,Filament,21.000,1,100000000,
2,,Filament,22.000,1,100000000,
1,,Filament,23.000,1,100000000,
2,,Filament,24.000,1,100000000,
1,,Filament,25.000,1,100000000,
1,,Filament,26.000,1,100000000,
1,,Filament,27.000,1,100000000,
0,,Filament,28.000,1,100000000,
0,,Filament,0.000,1,100000001,
0,,Filament,1.000,1,100000001,
3,,Filament,2.000,1,100000001,
6,,Filament,3.000,1,100000001,
8,,Filament,4.000,1,100000001,
7,,Filament,5.000,1,100000001,
6,,Filament,6.000,1,100000001,
6,,Filament,7.000,1,100000001,
10,,Filament,8.000,1,100000001,
10,,Filament,9.000,1,100000001,
4,,Filament,10.000,1,100000001,
1,,Filament,11.000,1,100000001,
3,,Filament,12.000,1,100000001,
3,,Filament,13.000,1,100000001,
1,,Filament,14.000,1,100000001,
0,,Filament,15.000,1,100000001,
0,,Filament,0.000,1,100000002,
2,,Filament,1.000,1,100000002,
5,,Filament,2.000,1,100000002,
10,,Filament,3.000,1,100000002,
9,,Filament,4.000,1,100000002,
10,,Filament,5.000,1,100000002,
8,,Filament,6.000,1,100000002,
13,,Filament,7.000,1,100000002,
20,,Filament,8.000,1,100000002,
19,,Filament,9.000,1,100000002,
9,,Filament,10.000,1,100000002,
13,,Filament,11.000,1,100000002,
4,,Filament,12.000,1,100000002,
3,,Filament,13.000,1,100000002,
2,,Filament,14.000,1,100000002,
3,,Filament,15.000,1,100000002,
0,,Filament,16.000,1,100000002,
0,,Filament,0.000,1,100000003,
1,,Filament,1.000,1,100000003,
1,,Filament,2.000,1,100000003,
3,,Filament,3.000,1,100000003,
4,,Filament,4.000,1,100000003,
8,,Filament,5.000,1,100000003,
6,,Filament,6.000,1,100000003,
8,,Filament,7.000,1,100000003,
7,,Filament,8.000,1,100000003,
5,,Filament,9.000,1,100000003,
1,,Filament,10.000,1,100000003,
1,,Filament,11.000,1,100000003,
1,,Filament,12.000,1,100000003,
1,,Filament,13.000,1,100000003,
0,,Filament,14.000,1,100000003,
