
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
0,,Filament,0.000,1,100000003,
2,,Filament,1.000,1,100000003,
3,,Filament,2.000,1,100000003,
1,,Filament,3.000,1,100000003,
2,,Filament,4.000,1,100000003,
1,,Filament,5.000,1,100000003,
0,,Filament,6.000,1,100000003,
0,,Filament,0.000,1,100000004,
5,,Filament,1.000,1,100000004,
1,,Filament,2.000,1,100000004,
2,,Filament,3.000,1,100000004,
1,,Filament,4.000,1,100000004,
2,,Filament,5.000,1,100000004,
0,,Filament,6.000,1,100000004,
0,,Filament,0.000,1,100000005,
4,,Filament,1.000,1,100000005,
5,,Filament,2.000,1,100000005,
7,,Filament,3.000,1,100000005,
6,,Filament,4.000,1,100000005,
6,,Filament,5.000,1,100000005,
3,,Filament,6.000,1,100000005,
2,,Filament,7.000,1,100000005,
0,,Filament,8.000,1,100000005,
0,,Filament,9.000,1,100000005,
