
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1374.42,µm,Spine,Spine Attachment Pt Position,2,1,1,100000001,610000001393,
1375.29,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000001396,
1374.04,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000001417,
1372.83,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000001419,
1375.02,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000001422,
1375.91,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000001428,
1375.12,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000001434,
1375,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000001436,
1373.96,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000001469,
1373.47,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001615,
1373.51,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000001615,
1373.5,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001616,
1373.82,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000001616,
1374.22,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001617,
1376.01,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001621,
1375.17,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001622,
1375.13,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001623,
1375.57,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000001624,
1375.08,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001625,
1374.98,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001626,
1374.92,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001627,
1374.04,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000001628,
1375.9,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001629,
1373.37,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000001630,
1376.77,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000001631,
1376.06,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000001632,
1376.79,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001633,
