
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
0,,Filament,0.000,1,100000001,
6,,Filament,1.000,1,100000001,
7,,Filament,2.000,1,100000001,
8,,Filament,3.000,1,100000001,
6,,Filament,4.000,1,100000001,
8,,Filament,5.000,1,100000001,
8,,Filament,6.000,1,100000001,
9,,Filament,7.000,1,100000001,
7,,Filament,8.000,1,100000001,
5,,Filament,9.000,1,100000001,
4,,Filament,10.000,1,100000001,
5,,Filament,11.000,1,100000001,
3,,Filament,12.000,1,100000001,
2,,Filament,13.000,1,100000001,
1,,Filament,14.000,1,100000001,
0,,Filament,15.000,1,100000001,
0,,Filament,0.000,1,100000002,
2,,Filament,1.000,1,100000002,
4,,Filament,2.000,1,100000002,
4,,Filament,3.000,1,100000002,
3,,Filament,4.000,1,100000002,
2,,Filament,5.000,1,100000002,
3,,Filament,6.000,1,100000002,
2,,Filament,7.000,1,100000002,
0,,Filament,8.000,1,100000002,
