
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1439.8,µm,Spine,Spine Attachment Pt Position,2,3,1,100000002,610000001367,
1441.93,µm,Spine,Spine Attachment Pt Position,6,2,1,100000000,610000001371,
1442.16,µm,Spine,Spine Attachment Pt Position,6,3,1,100000000,610000001375,
1442.77,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000001381,
1441.01,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000001391,
1441.08,µm,Spine,Spine Attachment Pt Position,2,1,1,100000001,610000001395,
1441.64,µm,Spine,Spine Attachment Pt Position,3,1,1,100000000,610000001429,
1440.2,µm,Spine,Spine Attachment Pt Position,2,1,1,100000001,610000001433,
1442.42,µm,Spine,Spine Attachment Pt Position,6,2,1,100000000,610000001439,
1440.07,µm,Spine,Spine Attachment Pt Position,2,2,1,100000002,610000001450,
1442.36,µm,Spine,Spine Attachment Pt Position,6,2,1,100000000,610000001456,
1439.68,µm,Spine,Spine Attachment Pt Position,2,3,1,100000002,610000001463,
1441.53,µm,Spine,Spine Attachment Pt Position,6,3,1,100000001,610000001471,
1441.96,µm,Spine,Spine Attachment Pt Position,6,2,1,100000000,610000001479,
1441.02,µm,Spine,Spine Attachment Pt Position,2,1,1,100000000,610000001490,
1440.53,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000001496,
1440.64,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000001505,
1441.35,µm,Spine,Spine Attachment Pt Position,8,5,1,100000001,610000001509,
1440.92,µm,Spine,Spine Attachment Pt Position,2,1,1,100000000,610000001527,
1440.14,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000001531,
1442,µm,Spine,Spine Attachment Pt Position,6,3,1,100000000,610000001547,
1441.15,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000001644,
1440.49,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001644,
1439.73,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000001644,
1441.17,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000001645,
1440.47,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001645,
1442.64,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001645,
1442.42,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001646,
1440.38,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001647,
1440.47,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001648,
1441.2,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000001648,
1440.51,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001649,
1441.13,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000001649,
1440.4,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000001650,
1442,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000001650,
1441.48,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000001651,
1442.21,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000001651,
1440.83,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000001652,
1440.89,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000001652,
1440.81,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000001653,
1441.38,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000001653,
1441.75,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000001654,
1440.61,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000001654,
1441.84,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000001655,
1440.79,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000001655,
1441.11,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000001656,
1442.61,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000001656,
1442.75,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000001657,
1440.92,µm,Spine,Spine Attachment Pt Position,8,4,1,,610000001657,
1440.78,µm,Spine,Spine Attachment Pt Position,9,4,1,,610000001658,
1440.98,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001659,
