
Spine Attachment Pt Position Y
 ==================== 
Spine Attachment Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
22224,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000001690,
22240.7,µm,Spine,Spine Attachment Pt Position,1,2,1,100000003,610000001723,
22219.7,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000001738,
22239.7,µm,Spine,Spine Attachment Pt Position,1,2,1,100000003,610000001795,
22218.7,µm,Spine,Spine Attachment Pt Position,0,1,1,100000004,610000001805,
22220.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000004,610000001845,
22241.5,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000001956,
22220,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001956,
22226.6,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001956,
22242.4,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001957,
22241.4,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000001957,
22225.6,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001957,
22219.6,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001958,
22225.5,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001958,
22219.4,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000001959,
22220.6,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001959,
22217.9,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001959,
22219.6,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001960,
22217.1,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000001961,
22217.7,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000001962,
22220.5,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001962,
22223.2,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001963,
22223.3,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001964,
22223.5,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000001965,
