
Filament No. Sholl Intersections
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
3,,Filament,9.000,1,100000003,
3,,Filament,10.000,1,100000003,
2,,Filament,11.000,1,100000003,
3,,Filament,12.000,1,100000003,
2,,Filament,13.000,1,100000003,
2,,Filament,14.000,1,100000003,
1,,Filament,15.000,1,100000003,
1,,Filament,16.000,1,100000003,
2,,Filament,17.000,1,100000003,
2,,Filament,18.000,1,100000003,
2,,Filament,19.000,1,100000003,
2,,Filament,20.000,1,100000003,
2,,Filament,21.000,1,100000003,
3,,Filament,22.000,1,100000003,
2,,Filament,23.000,1,100000003,
2,,Filament,24.000,1,100000003,
2,,Filament,25.000,1,100000003,
4,,Filament,26.000,1,100000003,
4,,Filament,27.000,1,100000003,
5,,Filament,28.000,1,100000003,
6,,Filament,29.000,1,100000003,
3,,Filament,30.000,1,100000003,
3,,Filament,31.000,1,100000003,
3,,Filament,32.000,1,100000003,
4,,Filament,33.000,1,100000003,
5,,Filament,34.000,1,100000003,
5,,Filament,35.000,1,100000003,
4,,Filament,36.000,1,100000003,
3,,Filament,37.000,1,100000003,
3,,Filament,38.000,1,100000003,
4,,Filament,39.000,1,100000003,
2,,Filament,40.000,1,100000003,
4,,Filament,41.000,1,100000003,
3,,Filament,42.000,1,100000003,
2,,Filament,43.000,1,100000003,
2,,Filament,44.000,1,100000003,
2,,Filament,45.000,1,100000003,
2,,Filament,46.000,1,100000003,
2,,Filament,47.000,1,100000003,
2,,Filament,48.000,1,100000003,
3,,Filament,49.000,1,100000003,
3,,Filament,50.000,1,100000003,
2,,Filament,51.000,1,100000003,
1,,Filament,52.000,1,100000003,
0,,Filament,53.000,1,100000003,
0,,Filament,0.000,1,100000004,
0,,Filament,1.000,1,100000004,
0,,Filament,2.000,1,100000004,
0,,Filament,3.000,1,100000004,
1,,Filament,4.000,1,100000004,
2,,Filament,5.000,1,100000004,
3,,Filament,6.000,1,100000004,
5,,Filament,7.000,1,100000004,
6,,Filament,8.000,1,100000004,
5,,Filament,9.000,1,100000004,
9,,Filament,10.000,1,100000004,
13,,Filament,11.000,1,100000004,
11,,Filament,12.000,1,100000004,
11,,Filament,13.000,1,100000004,
8,,Filament,14.000,1,100000004,
6,,Filament,15.000,1,100000004,
7,,Filament,16.000,1,100000004,
5,,Filament,17.000,1,100000004,
6,,Filament,18.000,1,100000004,
4,,Filament,19.000,1,100000004,
2,,Filament,20.000,1,100000004,
3,,Filament,21.000,1,100000004,
2,,Filament,22.000,1,100000004,
1,,Filament,23.000,1,100000004,
1,,Filament,24.000,1,100000004,
1,,Filament,25.000,1,100000004,
1,,Filament,26.000,1,100000004,
0,,Filament,27.000,1,100000004,
0,,Filament,0.000,1,100000005,
0,,Filament,1.000,1,100000005,
0,,Filament,2.000,1,100000005,
0,,Filament,3.000,1,100000005,
1,,Filament,4.000,1,100000005,
1,,Filament,5.000,1,100000005,
2,,Filament,6.000,1,100000005,
3,,Filament,7.000,1,100000005,
4,,Filament,8.000,1,100000005,
6,,Filament,9.000,1,100000005,
7,,Filament,10.000,1,100000005,
6,,Filament,11.000,1,100000005,
3,,Filament,12.000,1,100000005,
3,,Filament,13.000,1,100000005,
4,,Filament,14.000,1,100000005,
4,,Filament,15.000,1,100000005,
4,,Filament,16.000,1,100000005,
4,,Filament,17.000,1,100000005,
4,,Filament,18.000,1,100000005,
3,,Filament,19.000,1,100000005,
3,,Filament,20.000,1,100000005,
4,,Filament,21.000,1,100000005,
3,,Filament,22.000,1,100000005,
3,,Filament,23.000,1,100000005,
2,,Filament,24.000,1,100000005,
2,,Filament,25.000,1,100000005,
2,,Filament,26.000,1,100000005,
2,,Filament,27.000,1,100000005,
2,,Filament,28.000,1,100000005,
1,,Filament,29.000,1,100000005,
1,,Filament,30.000,1,100000005,
1,,Filament,31.000,1,100000005,
1,,Filament,32.000,1,100000005,
0,,Filament,33.000,1,100000005,
0,,Filament,0.000,1,100000006,
0,,Filament,1.000,1,100000006,
0,,Filament,2.000,1,100000006,
1,,Filament,3.000,1,100000006,
2,,Filament,4.000,1,100000006,
2,,Filament,5.000,1,100000006,
3,,Filament,6.000,1,100000006,
2,,Filament,7.000,1,100000006,
4,,Filament,8.000,1,100000006,
5,,Filament,9.000,1,100000006,
8,,Filament,10.000,1,100000006,
7,,Filament,11.000,1,100000006,
7,,Filament,12.000,1,100000006,
8,,Filament,13.000,1,100000006,
11,,Filament,14.000,1,100000006,
8,,Filament,15.000,1,100000006,
7,,Filament,16.000,1,100000006,
6,,Filament,17.000,1,100000006,
8,,Filament,18.000,1,100000006,
5,,Filament,19.000,1,100000006,
5,,Filament,20.000,1,100000006,
4,,Filament,21.000,1,100000006,
5,,Filament,22.000,1,100000006,
2,,Filament,23.000,1,100000006,
2,,Filament,24.000,1,100000006,
3,,Filament,25.000,1,100000006,
6,,Filament,26.000,1,100000006,
5,,Filament,27.000,1,100000006,
4,,Filament,28.000,1,100000006,
3,,Filament,29.000,1,100000006,
3,,Filament,30.000,1,100000006,
2,,Filament,31.000,1,100000006,
1,,Filament,32.000,1,100000006,
1,,Filament,33.000,1,100000006,
1,,Filament,34.000,1,100000006,
1,,Filament,35.000,1,100000006,
1,,Filament,36.000,1,100000006,
1,,Filament,37.000,1,100000006,
1,,Filament,38.000,1,100000006,
3,,Filament,39.000,1,100000006,
2,,Filament,40.000,1,100000006,
1,,Filament,41.000,1,100000006,
2,,Filament,42.000,1,100000006,
1,,Filament,43.000,1,100000006,
2,,Filament,44.000,1,100000006,
0,,Filament,45.000,1,100000006,
