
Filament No. Sholl Intersections
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000000,
1,,Filament,1.000,1,100000000,
2,,Filament,2.000,1,100000000,
1,,Filament,3.000,1,100000000,
0,,Filament,4.000,1,100000000,
0,,Filament,0.000,1,100000001,
1,,Filament,1.000,1,100000001,
6,,Filament,2.000,1,100000001,
3,,Filament,3.000,1,100000001,
2,,Filament,4.000,1,100000001,
2,,Filament,5.000,1,100000001,
0,,Filament,6.000,1,100000001,
0,,Filament,0.000,1,100000002,
0,,Filament,1.000,1,100000002,
0,,Filament,2.000,1,100000002,
0,,Filament,3.000,1,100000002,
1,,Filament,4.000,1,100000002,
0,,Filament,5.000,1,100000002,
