
Filament No. Sholl Intersections
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000000,
2,,Filament,1.000,1,100000000,
5,,Filament,2.000,1,100000000,
6,,Filament,3.000,1,100000000,
7,,Filament,4.000,1,100000000,
5,,Filament,5.000,1,100000000,
6,,Filament,6.000,1,100000000,
6,,Filament,7.000,1,100000000,
4,,Filament,8.000,1,100000000,
3,,Filament,9.000,1,100000000,
3,,Filament,10.000,1,100000000,
2,,Filament,11.000,1,100000000,
3,,Filament,12.000,1,100000000,
2,,Filament,13.000,1,100000000,
0,,Filament,14.000,1,100000000,
0,,Filament,0.000,1,100000001,
0,,Filament,1.000,1,100000001,
6,,Filament,2.000,1,100000001,
8,,Filament,3.000,1,100000001,
14,,Filament,4.000,1,100000001,
10,,Filament,5.000,1,100000001,
11,,Filament,6.000,1,100000001,
8,,Filament,7.000,1,100000001,
7,,Filament,8.000,1,100000001,
8,,Filament,9.000,1,100000001,
6,,Filament,10.000,1,100000001,
5,,Filament,11.000,1,100000001,
3,,Filament,12.000,1,100000001,
3,,Filament,13.000,1,100000001,
2,,Filament,14.000,1,100000001,
3,,Filament,15.000,1,100000001,
0,,Filament,16.000,1,100000001,
