
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1465.58,µm,Spine,Spine Attachment Pt Position,5,1,1,100000000,610000005413,
1465.27,µm,Spine,Spine Attachment Pt Position,5,2,1,100000001,610000005461,
1464.2,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000005464,
1464.32,µm,Spine,Spine Attachment Pt Position,3,2,1,100000004,610000005467,
1466.49,µm,Spine,Spine Attachment Pt Position,2,1,1,100000003,610000005474,
1466.18,µm,Spine,Spine Attachment Pt Position,3,2,1,100000000,610000005477,
1463.35,µm,Spine,Spine Attachment Pt Position,8,3,1,100000000,610000005479,
1463.7,µm,Spine,Spine Attachment Pt Position,5,4,1,100000004,610000005489,
1465.64,µm,Spine,Spine Attachment Pt Position,5,1,1,100000000,610000005510,
1465.56,µm,Spine,Spine Attachment Pt Position,1,2,1,100000003,610000005512,
1466.09,µm,Spine,Spine Attachment Pt Position,4,2,1,100000004,610000005515,
1463.44,µm,Spine,Spine Attachment Pt Position,11,5,1,100000001,610000005527,
1463.83,µm,Spine,Spine Attachment Pt Position,7,2,1,100000001,610000005544,
1465.56,µm,Spine,Spine Attachment Pt Position,2,2,1,100000002,610000005549,
1465.21,µm,Spine,Spine Attachment Pt Position,3,1,1,100000000,610000005553,
1464.92,µm,Spine,Spine Attachment Pt Position,11,6,1,100000001,610000005555,
1466.69,µm,Spine,Spine Attachment Pt Position,1,2,1,100000004,610000005568,
1464.43,µm,Spine,Spine Attachment Pt Position,12,3,1,100000001,610000005581,
1464.85,µm,Spine,Spine Attachment Pt Position,3,2,1,100000001,610000005584,
1464.58,µm,Spine,Spine Attachment Pt Position,4,2,1,100000001,610000005587,
1464.71,µm,Spine,Spine Attachment Pt Position,13,5,1,100000000,610000005607,
1464.99,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000005615,
1463.52,µm,Spine,Spine Attachment Pt Position,7,3,1,100000000,610000005627,
1462.52,µm,Spine,Spine Attachment Pt Position,8,2,1,100000001,610000005631,
1466.26,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000005636,
1466.59,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000005639,
1463.14,µm,Spine,Spine Attachment Pt Position,11,5,1,100000001,610000005643,
1462.98,µm,Spine,Spine Attachment Pt Position,6,1,1,100000000,610000005655,
1462.21,µm,Spine,Spine Attachment Pt Position,3,4,1,100000002,610000005661,
1465.15,µm,Spine,Spine Attachment Pt Position,2,2,1,100000000,610000005664,
1464.01,µm,Spine,Spine Attachment Pt Position,6,2,1,100000001,610000005668,
1464.41,µm,Spine,Spine Attachment Pt Position,2,2,1,100000002,610000005683,
1464.27,µm,Spine,Spine Attachment Pt Position,5,2,1,100000001,610000005698,
1462.78,µm,Spine,Spine Attachment Pt Position,7,3,1,100000000,610000005702,
1463.01,µm,Spine,Spine Attachment Pt Position,5,2,1,100000001,610000005714,
1466.68,µm,Spine,Spine Attachment Pt Position,2,3,1,100000001,610000005730,
1465.61,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000006048,
1465.14,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000006048,
1464.86,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000006048,
1462.91,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000006049,
1465.11,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000006049,
1463.68,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000006049,
1462.93,µm,Spine,Spine Attachment Pt Position,13,6,1,,610000006049,
1462.79,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000006050,
1463.22,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000006050,
1464.84,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000006050,
1465.09,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000006050,
1462.82,µm,Spine,Spine Attachment Pt Position,13,6,1,,610000006050,
1463.99,µm,Spine,Spine Attachment Pt Position,5,4,1,,610000006051,
1465.1,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000006051,
1462.52,µm,Spine,Spine Attachment Pt Position,13,5,1,,610000006051,
1462.44,µm,Spine,Spine Attachment Pt Position,3,4,1,,610000006051,
1463.97,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000006052,
1466.13,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000006052,
1463.69,µm,Spine,Spine Attachment Pt Position,9,3,1,,610000006052,
1462.45,µm,Spine,Spine Attachment Pt Position,3,4,1,,610000006052,
1463.26,µm,Spine,Spine Attachment Pt Position,8,4,1,,610000006053,
1465.33,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000006053,
1462.25,µm,Spine,Spine Attachment Pt Position,3,4,1,,610000006053,
1465.44,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000006054,
1465.38,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000006054,
1462.45,µm,Spine,Spine Attachment Pt Position,8,2,1,,610000006054,
1465.33,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000006055,
1465,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000006055,
1463.45,µm,Spine,Spine Attachment Pt Position,8,3,1,,610000006055,
1465.16,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000006056,
1463.75,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000006056,
1464.42,µm,Spine,Spine Attachment Pt Position,12,5,1,,610000006056,
1464.01,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000006057,
1464.73,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000006057,
1465.89,µm,Spine,Spine Attachment Pt Position,9,3,1,,610000006057,
1464.46,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000006058,
