
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1521.17,µm,Spine,Spine Attachment Pt Position,3,3,1,100000000,610000004592,
1510.44,µm,Spine,Spine Attachment Pt Position,1,2,1,100000002,610000004606,
1510.56,µm,Spine,Spine Attachment Pt Position,2,2,1,100000003,610000004626,
1520.52,µm,Spine,Spine Attachment Pt Position,5,4,1,100000003,610000004656,
1507.28,µm,Spine,Spine Attachment Pt Position,4,1,1,100000002,610000004666,
1517.8,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000004682,
1506.9,µm,Spine,Spine Attachment Pt Position,5,2,1,100000000,610000004700,
1504.13,µm,Spine,Spine Attachment Pt Position,2,2,1,100000003,610000004716,
1514.63,µm,Spine,Spine Attachment Pt Position,5,1,1,100000002,610000004755,
1512.74,µm,Spine,Spine Attachment Pt Position,1,2,1,100000003,610000004773,
1504.63,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000004829,
1503.5,µm,Spine,Spine Attachment Pt Position,5,2,1,100000002,610000004850,
1514.81,µm,Spine,Spine Attachment Pt Position,1,2,1,100000003,610000004863,
1525.74,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000004873,
1510.96,µm,Spine,Spine Attachment Pt Position,5,1,1,100000003,610000004886,
1506.82,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000004915,
1512.2,µm,Spine,Spine Attachment Pt Position,1,1,1,100000003,610000004918,
1510.75,µm,Spine,Spine Attachment Pt Position,2,1,1,100000003,610000004920,
1503.86,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000005002,
1506.66,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000005024,
1504.19,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000005048,
1519.18,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000005053,
1509.38,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005177,
1524.74,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000005177,
1523.61,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000005177,
1503.47,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000005177,
1503.08,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000005178,
1517.5,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005178,
1524.77,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000005178,
1523.23,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000005178,
1508.7,µm,Spine,Spine Attachment Pt Position,4,4,1,,610000005179,
1508.6,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000005179,
1519.13,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000005179,
1516.57,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000005179,
1506.51,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000005180,
1506.38,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005180,
1506,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000005180,
1514.91,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000005180,
1513.26,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005181,
1503.55,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000005182,
1506.02,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000005182,
1504.87,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000005182,
1512.69,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000005182,
1505.72,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005183,
1505.39,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000005183,
1524.5,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000005183,
1519.29,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005184,
1503.19,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000005184,
1516.8,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000005184,
1504.29,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000005184,
1519.09,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005185,
1502.98,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000005185,
1503.62,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000005185,
1514.19,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005186,
1518.4,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005187,
1524.86,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005188,
