
Filament No. Sholl Intersections
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000000,
0,,Filament,1.000,1,100000000,
0,,Filament,2.000,1,100000000,
0,,Filament,3.000,1,100000000,
2,,Filament,4.000,1,100000000,
5,,Filament,5.000,1,100000000,
9,,Filament,6.000,1,100000000,
7,,Filament,7.000,1,100000000,
7,,Filament,8.000,1,100000000,
7,,Filament,9.000,1,100000000,
7,,Filament,10.000,1,100000000,
7,,Filament,11.000,1,100000000,
7,,Filament,12.000,1,100000000,
10,,Filament,13.000,1,100000000,
14,,Filament,14.000,1,100000000,
14,,Filament,15.000,1,100000000,
13,,Filament,16.000,1,100000000,
12,,Filament,17.000,1,100000000,
11,,Filament,18.000,1,100000000,
12,,Filament,19.000,1,100000000,
13,,Filament,20.000,1,100000000,
10,,Filament,21.000,1,100000000,
10,,Filament,22.000,1,100000000,
8,,Filament,23.000,1,100000000,
8,,Filament,24.000,1,100000000,
7,,Filament,25.000,1,100000000,
9,,Filament,26.000,1,100000000,
11,,Filament,27.000,1,100000000,
10,,Filament,28.000,1,100000000,
7,,Filament,29.000,1,100000000,
6,,Filament,30.000,1,100000000,
6,,Filament,31.000,1,100000000,
5,,Filament,32.000,1,100000000,
3,,Filament,33.000,1,100000000,
2,,Filament,34.000,1,100000000,
1,,Filament,35.000,1,100000000,
1,,Filament,36.000,1,100000000,
0,,Filament,37.000,1,100000000,
0,,Filament,0.000,1,100000001,
0,,Filament,1.000,1,100000001,
0,,Filament,2.000,1,100000001,
0,,Filament,3.000,1,100000001,
0,,Filament,4.000,1,100000001,
0,,Filament,5.000,1,100000001,
1,,Filament,6.000,1,100000001,
5,,Filament,7.000,1,100000001,
8,,Filament,8.000,1,100000001,
8,,Filament,9.000,1,100000001,
7,,Filament,10.000,1,100000001,
6,,Filament,11.000,1,100000001,
6,,Filament,12.000,1,100000001,
6,,Filament,13.000,1,100000001,
5,,Filament,14.000,1,100000001,
7,,Filament,15.000,1,100000001,
7,,Filament,16.000,1,100000001,
10,,Filament,17.000,1,100000001,
6,,Filament,18.000,1,100000001,
5,,Filament,19.000,1,100000001,
5,,Filament,20.000,1,100000001,
5,,Filament,21.000,1,100000001,
6,,Filament,22.000,1,100000001,
5,,Filament,23.000,1,100000001,
5,,Filament,24.000,1,100000001,
5,,Filament,25.000,1,100000001,
6,,Filament,26.000,1,100000001,
5,,Filament,27.000,1,100000001,
4,,Filament,28.000,1,100000001,
4,,Filament,29.000,1,100000001,
4,,Filament,30.000,1,100000001,
4,,Filament,31.000,1,100000001,
8,,Filament,32.000,1,100000001,
7,,Filament,33.000,1,100000001,
5,,Filament,34.000,1,100000001,
4,,Filament,35.000,1,100000001,
4,,Filament,36.000,1,100000001,
4,,Filament,37.000,1,100000001,
1,,Filament,38.000,1,100000001,
1,,Filament,39.000,1,100000001,
2,,Filament,40.000,1,100000001,
2,,Filament,41.000,1,100000001,
2,,Filament,42.000,1,100000001,
2,,Filament,43.000,1,100000001,
5,,Filament,44.000,1,100000001,
8,,Filament,45.000,1,100000001,
6,,Filament,46.000,1,100000001,
3,,Filament,47.000,1,100000001,
4,,Filament,48.000,1,100000001,
4,,Filament,49.000,1,100000001,
5,,Filament,50.000,1,100000001,
5,,Filament,51.000,1,100000001,
4,,Filament,52.000,1,100000001,
4,,Filament,53.000,1,100000001,
3,,Filament,54.000,1,100000001,
2,,Filament,55.000,1,100000001,
0,,Filament,56.000,1,100000001,
0,,Filament,0.000,1,100000002,
0,,Filament,1.000,1,100000002,
0,,Filament,2.000,1,100000002,
0,,Filament,3.000,1,100000002,
0,,Filament,4.000,1,100000002,
4,,Filament,5.000,1,100000002,
6,,Filament,6.000,1,100000002,
7,,Filament,7.000,1,100000002,
8,,Filament,8.000,1,100000002,
6,,Filament,9.000,1,100000002,
6,,Filament,10.000,1,100000002,
6,,Filament,11.000,1,100000002,
6,,Filament,12.000,1,100000002,
6,,Filament,13.000,1,100000002,
5,,Filament,14.000,1,100000002,
5,,Filament,15.000,1,100000002,
4,,Filament,16.000,1,100000002,
4,,Filament,17.000,1,100000002,
5,,Filament,18.000,1,100000002,
6,,Filament,19.000,1,100000002,
5,,Filament,20.000,1,100000002,
4,,Filament,21.000,1,100000002,
4,,Filament,22.000,1,100000002,
3,,Filament,23.000,1,100000002,
3,,Filament,24.000,1,100000002,
3,,Filament,25.000,1,100000002,
5,,Filament,26.000,1,100000002,
7,,Filament,27.000,1,100000002,
6,,Filament,28.000,1,100000002,
7,,Filament,29.000,1,100000002,
8,,Filament,30.000,1,100000002,
4,,Filament,31.000,1,100000002,
3,,Filament,32.000,1,100000002,
2,,Filament,33.000,1,100000002,
2,,Filament,34.000,1,100000002,
2,,Filament,35.000,1,100000002,
2,,Filament,36.000,1,100000002,
0,,Filament,37.000,1,100000002,
