
Spine Attachment Pt Position X
 ==================== 
Spine Attachment Pt Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1112.45,µm,Spine,Spine Attachment Pt Position,6,4,1,100000002,610000004225,
1034.07,µm,Spine,Spine Attachment Pt Position,4,1,1,100000000,610000004240,
1128.41,µm,Spine,Spine Attachment Pt Position,7,3,1,100000001,610000004243,
1121.12,µm,Spine,Spine Attachment Pt Position,5,1,1,100000001,610000004301,
1109.24,µm,Spine,Spine Attachment Pt Position,2,2,1,100000002,610000004325,
1092.06,µm,Spine,Spine Attachment Pt Position,2,1,1,100000002,610000004340,
1075.54,µm,Spine,Spine Attachment Pt Position,4,4,1,100000000,610000004345,
1078.96,µm,Spine,Spine Attachment Pt Position,3,2,1,100000000,610000004347,
1101.45,µm,Spine,Spine Attachment Pt Position,6,5,1,100000001,610000004361,
1116.93,µm,Spine,Spine Attachment Pt Position,4,2,1,100000002,610000004366,
1058.61,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000004372,
1088.58,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000004396,
1081.58,µm,Spine,Spine Attachment Pt Position,6,5,1,100000000,610000004400,
1070.61,µm,Spine,Spine Attachment Pt Position,4,4,1,100000000,610000004402,
1090.82,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000004440,
1110.03,µm,Spine,Spine Attachment Pt Position,5,4,1,100000001,610000004460,
1103.89,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000004547,
1044.24,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004547,
1127.95,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000004547,
1067.31,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000004548,
1128.28,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000004548,
1059.72,µm,Spine,Spine Attachment Pt Position,7,1,1,,610000004548,
1067.56,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000004549,
1072.12,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000004550,
1117.6,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000004550,
1072.43,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000004551,
1119.05,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000004551,
1112.59,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000004552,
1075.81,µm,Spine,Spine Attachment Pt Position,4,4,1,,610000004552,
1071.72,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000004553,
1115.9,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000004553,
1129.37,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000004554,
1057.6,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004554,
1068.52,µm,Spine,Spine Attachment Pt Position,5,4,1,,610000004555,
1128.84,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000004555,
1134.28,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000004556,
1131.23,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004557,
1049.44,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000004557,
1048.45,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000004558,
1133.83,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004558,
1049.43,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004559,
1134.05,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004559,
1051.49,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004560,
1134.74,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004560,
1128.9,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000004561,
1123.53,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000004562,
1116.21,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000004563,
1116.72,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000004565,
1117.69,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000004566,
1118.12,µm,Spine,Spine Attachment Pt Position,5,4,1,,610000004567,
1123.8,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000004568,
1112.3,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000004569,
1112.74,µm,Spine,Spine Attachment Pt Position,5,4,1,,610000004570,
1106.7,µm,Spine,Spine Attachment Pt Position,5,4,1,,610000004571,
1136.49,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004572,
1137.88,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000004573,
