
Spine Attachment Pt Position X
 ==================== 
Spine Attachment Pt Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-16706.4,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000002912,
-16697.5,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000002927,
-16708.1,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000002952,
-16717.8,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000002983,
-16722.3,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000002986,
-16707.2,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000002988,
-16715.3,µm,Spine,Spine Attachment Pt Position,6,4,1,100000001,610000002999,
-16720.7,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000003001,
-16714,µm,Spine,Spine Attachment Pt Position,14,4,1,100000001,610000003003,
-16716.3,µm,Spine,Spine Attachment Pt Position,5,3,1,100000001,610000003005,
-16718.1,µm,Spine,Spine Attachment Pt Position,5,5,1,100000001,610000003012,
-16719.9,µm,Spine,Spine Attachment Pt Position,7,5,1,100000001,610000003021,
-16708.1,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003025,
-16717,µm,Spine,Spine Attachment Pt Position,19,8,1,100000001,610000003027,
-16705.8,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003040,
-16720.3,µm,Spine,Spine Attachment Pt Position,7,4,1,100000001,610000003043,
-16712.2,µm,Spine,Spine Attachment Pt Position,10,3,1,100000001,610000003045,
-16721,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000003049,
-16715.9,µm,Spine,Spine Attachment Pt Position,6,3,1,100000001,610000003057,
-16703,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003065,
-16711.6,µm,Spine,Spine Attachment Pt Position,17,4,1,100000001,610000003067,
-16720.4,µm,Spine,Spine Attachment Pt Position,5,3,1,100000001,610000003069,
-16713.8,µm,Spine,Spine Attachment Pt Position,14,4,1,100000001,610000003071,
-16724.6,µm,Spine,Spine Attachment Pt Position,7,5,1,100000001,610000003076,
-16717.6,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000003078,
-16712.8,µm,Spine,Spine Attachment Pt Position,9,4,1,100000001,610000003087,
-16704.5,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003096,
-16718.7,µm,Spine,Spine Attachment Pt Position,6,5,1,100000001,610000003100,
-16712,µm,Spine,Spine Attachment Pt Position,11,3,1,100000001,610000003103,
-16697.4,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003105,
-16721.6,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000003107,
-16720,µm,Spine,Spine Attachment Pt Position,5,2,1,100000001,610000003117,
-16714,µm,Spine,Spine Attachment Pt Position,12,6,1,100000001,610000003125,
-16721.9,µm,Spine,Spine Attachment Pt Position,10,6,1,100000001,610000003128,
-16719.3,µm,Spine,Spine Attachment Pt Position,7,4,1,100000001,610000003131,
-16713.3,µm,Spine,Spine Attachment Pt Position,11,5,1,100000001,610000003138,
-16717.9,µm,Spine,Spine Attachment Pt Position,20,7,1,100000001,610000003140,
-16711.8,µm,Spine,Spine Attachment Pt Position,19,4,1,100000001,610000003148,
-16719.9,µm,Spine,Spine Attachment Pt Position,7,5,1,100000001,610000003152,
-16724.7,µm,Spine,Spine Attachment Pt Position,7,5,1,100000001,610000003160,
-16698.8,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003412,
-16697.9,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003414,
-16704.9,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003415,
-16704.3,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003416,
-16697.6,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003417,
-16696.7,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003418,
-16697.3,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003419,
-16697.9,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003421,
-16701.6,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003422,
-16704,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003423,
-16706.2,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003424,
-16707.6,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003425,
-16710.2,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003426,
-16707.1,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003427,
-16705.7,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003428,
-16708.4,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003430,
-16711.2,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003431,
-16724.8,µm,Spine,Spine Attachment Pt Position,7,5,1,,610000003433,
-16725,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000003434,
-16725,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000003435,
-16724.8,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000003436,
-16723.7,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000003437,
-16723.1,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000003438,
-16719.2,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000003439,
-16721.3,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000003440,
-16719.3,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000003442,
-16720.5,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000003443,
-16718.8,µm,Spine,Spine Attachment Pt Position,4,4,1,,610000003444,
-16718.7,µm,Spine,Spine Attachment Pt Position,4,4,1,,610000003445,
-16720,µm,Spine,Spine Attachment Pt Position,7,5,1,,610000003446,
-16720,µm,Spine,Spine Attachment Pt Position,7,5,1,,610000003447,
-16719.7,µm,Spine,Spine Attachment Pt Position,8,5,1,,610000003448,
-16720,µm,Spine,Spine Attachment Pt Position,8,4,1,,610000003449,
-16718.8,µm,Spine,Spine Attachment Pt Position,6,5,1,,610000003450,
-16719.6,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000003451,
-16718.5,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000003452,
-16716.1,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000003453,
-16717.1,µm,Spine,Spine Attachment Pt Position,5,4,1,,610000003454,
-16716.4,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000003455,
-16714.4,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000003456,
-16715.4,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000003457,
-16715.9,µm,Spine,Spine Attachment Pt Position,7,5,1,,610000003458,
-16715.6,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000003460,
-16715.4,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000003461,
-16715.2,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000003462,
-16712.4,µm,Spine,Spine Attachment Pt Position,10,3,1,,610000003463,
-16712.5,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000003464,
-16712.9,µm,Spine,Spine Attachment Pt Position,9,4,1,,610000003465,
-16712.6,µm,Spine,Spine Attachment Pt Position,9,4,1,,610000003466,
-16713,µm,Spine,Spine Attachment Pt Position,12,5,1,,610000003467,
-16713.9,µm,Spine,Spine Attachment Pt Position,11,4,1,,610000003468,
-16718.2,µm,Spine,Spine Attachment Pt Position,20,7,1,,610000003469,
-16717.7,µm,Spine,Spine Attachment Pt Position,19,7,1,,610000003470,
-16717.5,µm,Spine,Spine Attachment Pt Position,19,7,1,,610000003471,
-16717.4,µm,Spine,Spine Attachment Pt Position,19,7,1,,610000003472,
-16716.8,µm,Spine,Spine Attachment Pt Position,18,7,1,,610000003473,
-16715.7,µm,Spine,Spine Attachment Pt Position,15,7,1,,610000003474,
-16715.7,µm,Spine,Spine Attachment Pt Position,15,7,1,,610000003475,
-16711.7,µm,Spine,Spine Attachment Pt Position,17,4,1,,610000003476,
