
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1434.86,µm,Spine,Spine Attachment Pt Position,12,5,1,100000000,610000004162,
1439.22,µm,Spine,Spine Attachment Pt Position,11,5,1,100000000,610000004165,
1453.7,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000004168,
1450.65,µm,Spine,Spine Attachment Pt Position,5,3,1,100000002,610000004183,
1437.33,µm,Spine,Spine Attachment Pt Position,5,2,1,100000000,610000004194,
1439.94,µm,Spine,Spine Attachment Pt Position,4,2,1,100000001,610000004196,
1444.17,µm,Spine,Spine Attachment Pt Position,8,2,1,100000000,610000004198,
1446.86,µm,Spine,Spine Attachment Pt Position,5,3,1,100000002,610000004202,
1437.33,µm,Spine,Spine Attachment Pt Position,3,2,1,100000001,610000004205,
1439.71,µm,Spine,Spine Attachment Pt Position,6,2,1,100000000,610000004207,
1441.71,µm,Spine,Spine Attachment Pt Position,12,3,1,100000000,610000004224,
1444.36,µm,Spine,Spine Attachment Pt Position,6,2,1,100000001,610000004345,
1435.53,µm,Spine,Spine Attachment Pt Position,9,5,1,100000001,610000004346,
1438.71,µm,Spine,Spine Attachment Pt Position,4,3,1,100000001,610000004347,
1437.83,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000004348,
1439.44,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000004349,
1442.5,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000004368,
1434.41,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000004368,
1454.73,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000004369,
1438.17,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004369,
1440.85,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000004370,
1444.7,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000004370,
1444.36,µm,Spine,Spine Attachment Pt Position,8,2,1,,610000004371,
1452.82,µm,Spine,Spine Attachment Pt Position,11,6,1,,610000004371,
1454.84,µm,Spine,Spine Attachment Pt Position,9,5,1,,610000004372,
1445.31,µm,Spine,Spine Attachment Pt Position,17,3,1,,610000004372,
1439,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000004373,
1442.53,µm,Spine,Spine Attachment Pt Position,17,4,1,,610000004373,
1436.91,µm,Spine,Spine Attachment Pt Position,14,4,1,,610000004374,
1443.78,µm,Spine,Spine Attachment Pt Position,14,5,1,,610000004375,
1454.14,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004375,
1445.76,µm,Spine,Spine Attachment Pt Position,13,4,1,,610000004376,
1446.45,µm,Spine,Spine Attachment Pt Position,13,4,1,,610000004377,
1438.34,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000004378,
1437.93,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000004379,
1437.9,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000004380,
1446.69,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000004381,
1443.4,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000004382,
1435.98,µm,Spine,Spine Attachment Pt Position,14,6,1,,610000004383,
1453.98,µm,Spine,Spine Attachment Pt Position,10,6,1,,610000004385,
1443.13,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004386,
1444.77,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000004387,
1446.11,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000004388,
1446.15,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000004389,
1455.79,µm,Spine,Spine Attachment Pt Position,8,1,1,,610000004390,
1434.74,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004391,
1434.81,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004392,
1434.69,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000004393,
