
Spine Attachment Pt Position Y
 ==================== 
Spine Attachment Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
18580.7,µm,Spine,Spine Attachment Pt Position,2,1,1,100000000,610000000436,
18581.1,µm,Spine,Spine Attachment Pt Position,5,1,1,100000000,610000000443,
18581,µm,Spine,Spine Attachment Pt Position,3,1,1,100000000,610000000451,
18580.9,µm,Spine,Spine Attachment Pt Position,3,1,1,100000000,610000000465,
18581.1,µm,Spine,Spine Attachment Pt Position,5,1,1,100000000,610000000474,
18580.9,µm,Spine,Spine Attachment Pt Position,3,1,1,100000000,610000000477,
18580.8,µm,Spine,Spine Attachment Pt Position,2,1,1,100000000,610000000482,
18580.1,µm,Spine,Spine Attachment Pt Position,2,1,1,100000000,610000000491,
18580.9,µm,Spine,Spine Attachment Pt Position,3,1,1,100000000,610000000498,
18580.5,µm,Spine,Spine Attachment Pt Position,5,2,1,100000000,610000000508,
18580.1,µm,Spine,Spine Attachment Pt Position,2,1,1,100000000,610000000511,
18579.4,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000000539,
18580.4,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000000540,
18582.1,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000000541,
18580.1,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000000542,
18581.7,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000000543,
18581.7,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000000544,
18581.4,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000000545,
18580.8,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000000546,
18580.5,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000000547,
18581.1,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000000548,
18582.1,µm,Spine,Spine Attachment Pt Position,5,1,1,,610000000549,
18578.5,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000000550,
18578.4,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000000551,
