
Spine Attachment Pt Position Y
 ==================== 
Spine Attachment Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20127.6,µm,Spine,Spine Attachment Pt Position,7,5,1,100000002,610000011966,
20148.2,µm,Spine,Spine Attachment Pt Position,3,3,1,100000003,610000011974,
20146.4,µm,Spine,Spine Attachment Pt Position,11,4,1,100000003,610000011983,
20133.4,µm,Spine,Spine Attachment Pt Position,3,2,1,100000003,610000011990,
20174.2,µm,Spine,Spine Attachment Pt Position,9,5,1,100000003,610000011994,
20110.5,µm,Spine,Spine Attachment Pt Position,7,3,1,100000002,610000012000,
20140.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000012003,
20113.2,µm,Spine,Spine Attachment Pt Position,4,2,1,100000003,610000012006,
20184.6,µm,Spine,Spine Attachment Pt Position,13,6,1,100000003,610000012008,
20116.9,µm,Spine,Spine Attachment Pt Position,9,4,1,100000002,610000012011,
20133.6,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000012019,
20109.1,µm,Spine,Spine Attachment Pt Position,3,2,1,100000002,610000012022,
20149.4,µm,Spine,Spine Attachment Pt Position,3,1,1,100000003,610000012024,
20145,µm,Spine,Spine Attachment Pt Position,12,4,1,100000003,610000012026,
20097.2,µm,Spine,Spine Attachment Pt Position,1,2,1,100000002,610000012046,
20113.6,µm,Spine,Spine Attachment Pt Position,4,2,1,100000003,610000012048,
20133,µm,Spine,Spine Attachment Pt Position,3,2,1,100000003,610000012088,
20156.1,µm,Spine,Spine Attachment Pt Position,8,5,1,100000003,610000012095,
20104.6,µm,Spine,Spine Attachment Pt Position,4,4,1,100000002,610000012103,
20154.6,µm,Spine,Spine Attachment Pt Position,5,1,1,100000003,610000012147,
20142.8,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000012150,
20127,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000012291,
20101.1,µm,Spine,Spine Attachment Pt Position,8,3,1,,610000012292,
20115.7,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000012292,
