
Filament No. Sholl Intersections
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000003,
0,,Filament,1.000,1,100000003,
0,,Filament,0.000,1,100000004,
2,,Filament,1.000,1,100000004,
1,,Filament,2.000,1,100000004,
0,,Filament,3.000,1,100000004,
0,,Filament,0.000,1,100000005,
1,,Filament,1.000,1,100000005,
3,,Filament,2.000,1,100000005,
1,,Filament,3.000,1,100000005,
0,,Filament,4.000,1,100000005,
0,,Filament,0.000,1,100000006,
0,,Filament,1.000,1,100000006,
0,,Filament,2.000,1,100000006,
2,,Filament,3.000,1,100000006,
0,,Filament,4.000,1,100000006,
0,,Filament,0.000,1,100000007,
1,,Filament,1.000,1,100000007,
1,,Filament,2.000,1,100000007,
5,,Filament,3.000,1,100000007,
1,,Filament,4.000,1,100000007,
1,,Filament,5.000,1,100000007,
1,,Filament,6.000,1,100000007,
2,,Filament,7.000,1,100000007,
3,,Filament,8.000,1,100000007,
2,,Filament,9.000,1,100000007,
4,,Filament,10.000,1,100000007,
2,,Filament,11.000,1,100000007,
1,,Filament,12.000,1,100000007,
0,,Filament,13.000,1,100000007,
