
Spine Attachment Pt Position X
 ==================== 
Spine Attachment Pt Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-18611.4,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000001938,
-18611.1,µm,Spine,Spine Attachment Pt Position,3,1,1,100000000,610000001940,
-18616.9,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000001998,
-18620.4,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000002149,
-18619.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000002152,
-18646.5,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000002178,
-18664.8,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000002205,
-18609.1,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002297,
-18611.3,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002298,
-18617.7,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002299,
-18631.4,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000002300,
-18635.9,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000002300,
-18654.2,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000002301,
-18629.5,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000002301,
-18659.6,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000002302,
-18630.6,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000002303,
-18646.7,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002303,
-18619.5,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002304,
-18621.1,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002305,
-18604.1,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000002306,
-18609.6,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000002308,
-18617.4,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002309,
-18616.4,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002310,
-18616.9,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002311,
