
Filament No. Sholl Intersections
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000000,
3,,Filament,1.000,1,100000000,
6,,Filament,2.000,1,100000000,
8,,Filament,3.000,1,100000000,
8,,Filament,4.000,1,100000000,
13,,Filament,5.000,1,100000000,
11,,Filament,6.000,1,100000000,
9,,Filament,7.000,1,100000000,
10,,Filament,8.000,1,100000000,
4,,Filament,9.000,1,100000000,
5,,Filament,10.000,1,100000000,
2,,Filament,11.000,1,100000000,
1,,Filament,12.000,1,100000000,
1,,Filament,13.000,1,100000000,
1,,Filament,14.000,1,100000000,
2,,Filament,15.000,1,100000000,
2,,Filament,16.000,1,100000000,
0,,Filament,17.000,1,100000000,
0,,Filament,0.000,1,100000001,
0,,Filament,1.000,1,100000001,
11,,Filament,2.000,1,100000001,
13,,Filament,3.000,1,100000001,
9,,Filament,4.000,1,100000001,
9,,Filament,5.000,1,100000001,
12,,Filament,6.000,1,100000001,
13,,Filament,7.000,1,100000001,
8,,Filament,8.000,1,100000001,
11,,Filament,9.000,1,100000001,
8,,Filament,10.000,1,100000001,
15,,Filament,11.000,1,100000001,
10,,Filament,12.000,1,100000001,
15,,Filament,13.000,1,100000001,
4,,Filament,14.000,1,100000001,
3,,Filament,15.000,1,100000001,
3,,Filament,16.000,1,100000001,
5,,Filament,17.000,1,100000001,
6,,Filament,18.000,1,100000001,
8,,Filament,19.000,1,100000001,
0,,Filament,20.000,1,100000001,
0,,Filament,0.000,1,100000002,
0,,Filament,1.000,1,100000002,
5,,Filament,2.000,1,100000002,
6,,Filament,3.000,1,100000002,
9,,Filament,4.000,1,100000002,
4,,Filament,5.000,1,100000002,
8,,Filament,6.000,1,100000002,
3,,Filament,7.000,1,100000002,
8,,Filament,8.000,1,100000002,
11,,Filament,9.000,1,100000002,
6,,Filament,10.000,1,100000002,
4,,Filament,11.000,1,100000002,
3,,Filament,12.000,1,100000002,
1,,Filament,13.000,1,100000002,
1,,Filament,14.000,1,100000002,
0,,Filament,15.000,1,100000002,
