
Spine Intensity Median Ch=2 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
27.0625,,Spine,2,4,Image 1,2,1,100000001,610000000944,
24.0625,,Spine,2,0,Image 1,1,1,100000000,610000000949,
36.0625,,Spine,2,5,Image 1,2,1,100000001,610000000951,
16.0312,,Spine,2,1,Image 1,1,1,100000001,610000000953,
35.0625,,Spine,2,1,Image 1,1,1,100000001,610000000958,
22.0312,,Spine,2,3,Image 1,2,1,100000001,610000000960,
14.0156,,Spine,2,1,Image 1,1,1,100000001,610000000962,
26.0312,,Spine,2,3,Image 1,2,1,100000001,610000000964,
17.0625,,Spine,2,1,Image 1,1,1,100000001,610000000966,
16.5312,,Spine,2,0,Image 1,1,1,100000001,610000000969,
43.0625,,Spine,2,1,Image 1,1,1,100000001,610000000974,
20.0625,,Spine,2,6,Image 1,2,1,100000000,610000000976,
16.0312,,Spine,2,1,Image 1,1,1,100000001,610000000978,
26.0625,,Spine,2,2,Image 1,1,1,100000000,610000000981,
23.0312,,Spine,2,1,Image 1,1,1,100000001,610000000983,
27.0625,,Spine,2,0,Image 1,1,1,100000001,610000000985,
24.0312,,Spine,2,0,Image 1,1,1,100000000,610000000987,
26.0625,,Spine,2,0,Image 1,1,1,100000001,610000000989,
30.0312,,Spine,2,1,Image 1,1,1,100000001,610000000992,
26.0312,,Spine,2,3,Image 1,2,1,100000001,610000000995,
35.0625,,Spine,2,0,Image 1,1,1,100000000,610000000998,
33.0625,,Spine,2,4,Image 1,2,1,100000001,610000001001,
23.0312,,Spine,2,0,Image 1,1,1,100000000,610000001004,
32.0625,,Spine,2,1,Image 1,1,1,100000001,610000001009,
32.0625,,Spine,2,1,Image 1,1,1,100000000,610000001014,
32.0625,,Spine,2,0,Image 1,1,1,100000000,610000001017,
21.0312,,Spine,2,1,Image 1,1,1,100000001,610000001020,
28.0625,,Spine,2,6,Image 1,3,1,100000000,610000001023,
24.0312,,Spine,2,0,Image 1,1,1,100000000,610000001030,
27.0625,,Spine,2,1,Image 1,1,1,100000001,610000001032,
27.0312,,Spine,2,0,Image 1,1,1,100000000,610000001034,
39.0625,,Spine,2,1,Image 1,1,1,100000001,610000001043,
14.0312,,Spine,2,6,Image 1,2,1,100000000,610000001059,
24.0312,,Spine,2,6,Image 1,2,1,100000000,610000001060,
23.0625,,Spine,2,6,Image 1,2,1,100000000,610000001061,
15.0312,,Spine,2,3,Image 1,1,1,100000000,610000001062,
16.0312,,Spine,2,1,Image 1,1,1,100000000,610000001063,
27.0625,,Spine,2,2,Image 1,1,1,100000000,610000001067,
22.0312,,Spine,2,0,Image 1,1,1,100000000,610000001068,
37.0625,,Spine,2,1,Image 1,2,1,100000000,610000001069,
21.5312,,Spine,2,6,Image 1,3,1,100000001,610000001074,
16.0312,,Spine,2,6,Image 1,3,1,100000001,610000001075,
12.0312,,Spine,2,6,Image 1,3,1,100000001,610000001076,
32.5625,,Spine,2,4,Image 1,2,1,100000001,610000001077,
27.0625,,Spine,2,3,Image 1,1,1,100000001,610000001078,
25.0312,,Spine,2,3,Image 1,2,1,100000001,610000001079,
21.0312,,Spine,2,3,Image 1,2,1,100000001,610000001080,
21.0312,,Spine,2,3,Image 1,2,1,100000001,610000001081,
31.0625,,Spine,2,2,Image 1,1,1,100000001,610000001082,
37.5312,,Spine,2,2,Image 1,1,1,100000001,610000001083,
33.0625,,Spine,2,2,Image 1,1,1,100000001,610000001084,
18.0312,,Spine,2,1,Image 1,1,1,100000001,610000001086,
22.0312,,Spine,2,0,Image 1,1,1,100000001,610000001087,
18.0625,,Spine,2,2,Image 1,1,1,100000001,610000001088,
35.0625,,Spine,2,1,Image 1,1,1,100000001,610000001089,
23.5625,,Spine,2,1,Image 1,1,1,100000001,610000001090,
22.0625,,Spine,2,0,Image 1,1,1,100000001,610000001091,
