
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1431.87,µm,Spine,Spine Attachment Pt Position,13,8,1,100000001,610000004007,
1431.85,µm,Spine,Spine Attachment Pt Position,13,8,1,100000001,610000004031,
1431.51,µm,Spine,Spine Attachment Pt Position,13,8,1,100000001,610000004035,
1431.57,µm,Spine,Spine Attachment Pt Position,5,2,1,100000000,610000004044,
1431.25,µm,Spine,Spine Attachment Pt Position,2,1,1,100000000,610000004048,
1432.13,µm,Spine,Spine Attachment Pt Position,10,5,1,100000000,610000004050,
1431.47,µm,Spine,Spine Attachment Pt Position,5,2,1,100000001,610000004059,
1434.21,µm,Spine,Spine Attachment Pt Position,6,1,1,100000000,610000004062,
1432,µm,Spine,Spine Attachment Pt Position,21,6,1,100000001,610000004064,
1433.23,µm,Spine,Spine Attachment Pt Position,7,2,1,100000001,610000004066,
1431.76,µm,Spine,Spine Attachment Pt Position,11,1,1,100000001,610000004068,
1432.1,µm,Spine,Spine Attachment Pt Position,23,6,1,100000001,610000004076,
1431.78,µm,Spine,Spine Attachment Pt Position,4,2,1,100000001,610000004087,
1434.07,µm,Spine,Spine Attachment Pt Position,11,3,1,100000001,610000004089,
1432.23,µm,Spine,Spine Attachment Pt Position,13,3,1,100000001,610000004099,
1431.85,µm,Spine,Spine Attachment Pt Position,5,4,1,100000001,610000004118,
1431.6,µm,Spine,Spine Attachment Pt Position,16,2,1,100000000,610000004123,
1433.48,µm,Spine,Spine Attachment Pt Position,9,3,1,100000000,610000004128,
1431.74,µm,Spine,Spine Attachment Pt Position,5,1,1,100000001,610000004140,
1431.49,µm,Spine,Spine Attachment Pt Position,4,1,1,100000000,610000004142,
1433.74,µm,Spine,Spine Attachment Pt Position,10,3,1,100000000,610000004147,
1431.21,µm,Spine,Spine Attachment Pt Position,5,3,1,100000000,610000004149,
1431.61,µm,Spine,Spine Attachment Pt Position,14,1,1,100000000,610000004151,
1431.4,µm,Spine,Spine Attachment Pt Position,9,5,1,100000000,610000004154,
1431.35,µm,Spine,Spine Attachment Pt Position,3,2,1,100000001,610000004156,
1432.53,µm,Spine,Spine Attachment Pt Position,17,6,1,100000001,610000004177,
1432.02,µm,Spine,Spine Attachment Pt Position,21,7,1,100000001,610000004179,
1432.2,µm,Spine,Spine Attachment Pt Position,16,4,1,100000001,610000004182,
1433.81,µm,Spine,Spine Attachment Pt Position,8,2,1,100000001,610000004195,
1433.46,µm,Spine,Spine Attachment Pt Position,9,3,1,100000000,610000004201,
1431.5,µm,Spine,Spine Attachment Pt Position,4,1,1,100000000,610000004203,
1433.4,µm,Spine,Spine Attachment Pt Position,12,3,1,100000000,610000004210,
1432.28,µm,Spine,Spine Attachment Pt Position,6,4,1,100000000,610000004246,
1431.49,µm,Spine,Spine Attachment Pt Position,13,1,1,100000000,610000004259,
1431.67,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000004268,
1433.39,µm,Spine,Spine Attachment Pt Position,12,2,1,100000000,610000004276,
1434.05,µm,Spine,Spine Attachment Pt Position,10,3,1,100000000,610000004282,
1431.78,µm,Spine,Spine Attachment Pt Position,4,3,1,100000001,610000004291,
1431.4,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004479,
1431.44,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000004480,
1431.58,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000004480,
1433.06,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000004481,
1431.52,µm,Spine,Spine Attachment Pt Position,14,2,1,,610000004481,
1432.04,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000004482,
1431.67,µm,Spine,Spine Attachment Pt Position,11,1,1,,610000004482,
1431.98,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000004483,
1432.22,µm,Spine,Spine Attachment Pt Position,8,2,1,,610000004483,
1431.49,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000004484,
1434.23,µm,Spine,Spine Attachment Pt Position,9,3,1,,610000004485,
1431.5,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000004485,
1434.29,µm,Spine,Spine Attachment Pt Position,13,4,1,,610000004486,
1433.21,µm,Spine,Spine Attachment Pt Position,11,5,1,,610000004486,
1433.13,µm,Spine,Spine Attachment Pt Position,13,4,1,,610000004487,
1433.1,µm,Spine,Spine Attachment Pt Position,11,5,1,,610000004487,
1433.22,µm,Spine,Spine Attachment Pt Position,13,4,1,,610000004488,
1434.33,µm,Spine,Spine Attachment Pt Position,17,6,1,,610000004488,
1433.58,µm,Spine,Spine Attachment Pt Position,16,7,1,,610000004489,
1433.52,µm,Spine,Spine Attachment Pt Position,13,3,1,,610000004489,
1433.71,µm,Spine,Spine Attachment Pt Position,12,3,1,,610000004490,
1433.03,µm,Spine,Spine Attachment Pt Position,11,4,1,,610000004490,
1434.22,µm,Spine,Spine Attachment Pt Position,9,2,1,,610000004491,
1432.57,µm,Spine,Spine Attachment Pt Position,8,3,1,,610000004491,
1432.89,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000004492,
1433.77,µm,Spine,Spine Attachment Pt Position,10,3,1,,610000004492,
1433.56,µm,Spine,Spine Attachment Pt Position,9,3,1,,610000004493,
1431.53,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000004493,
1433.22,µm,Spine,Spine Attachment Pt Position,10,3,1,,610000004494,
1431.54,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000004494,
1431.56,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000004495,
1431.61,µm,Spine,Spine Attachment Pt Position,8,1,1,,610000004498,
1431.79,µm,Spine,Spine Attachment Pt Position,9,1,1,,610000004499,
1433.82,µm,Spine,Spine Attachment Pt Position,17,4,1,,610000004500,
1432.64,µm,Spine,Spine Attachment Pt Position,11,4,1,,610000004500,
1433.13,µm,Spine,Spine Attachment Pt Position,14,2,1,,610000004501,
1432.58,µm,Spine,Spine Attachment Pt Position,11,4,1,,610000004501,
1432.94,µm,Spine,Spine Attachment Pt Position,14,3,1,,610000004502,
1432.43,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000004502,
1431.43,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000004503,
1431.83,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000004504,
1432.75,µm,Spine,Spine Attachment Pt Position,13,2,1,,610000004505,
1431.46,µm,Spine,Spine Attachment Pt Position,8,4,1,,610000004505,
1434.06,µm,Spine,Spine Attachment Pt Position,18,3,1,,610000004506,
1431.53,µm,Spine,Spine Attachment Pt Position,15,1,1,,610000004507,
1431.37,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000004507,
1431.47,µm,Spine,Spine Attachment Pt Position,15,1,1,,610000004508,
1431.36,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000004508,
1431.77,µm,Spine,Spine Attachment Pt Position,12,1,1,,610000004509,
1431.72,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000004509,
1431.77,µm,Spine,Spine Attachment Pt Position,11,3,1,,610000004510,
1431.23,µm,Spine,Spine Attachment Pt Position,12,2,1,,610000004511,
1431.86,µm,Spine,Spine Attachment Pt Position,11,1,1,,610000004511,
1432.48,µm,Spine,Spine Attachment Pt Position,12,2,1,,610000004512,
1431.79,µm,Spine,Spine Attachment Pt Position,12,3,1,,610000004512,
1431.36,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000004513,
1433.46,µm,Spine,Spine Attachment Pt Position,16,4,1,,610000004513,
